dataset,method,first_order_diff_used,num_features,block_size,network_config,train_transform_time,test_transform_time,train_transform_block_time,test_transform_block_time,train_cls_time,train_cls_epoch_time,test_cls_time,train_cls_time_gpu,train_cls_epoch_time_gpu,test_cls_time_gpu
auslan2,minirocket,0,1000,,,0.037899971,0.004985571,0.037899971,0.004985571,0.01196909,,0.0,,,
auslan2,minirocket,0,2500,,,0.037929296,0.004954815,0.037929296,0.004954815,0.016987562,,0.0,,,
auslan2,minirocket,0,10000,,,0.042886496,0.005951881,0.042886496,0.005951881,0.050867319,,0.001991034,,,
auslan2,multirocket,0,1000,,,0.0378685,0.004987001,0.0378685,0.004987001,0.034407616,,0.000996351,,,
auslan2,multirocket,0,2500,,,0.038870096,0.005982637,0.038870096,0.005982637,0.056851864,,0.001991272,,,
auslan2,multirocket,0,10000,,,0.042851925,0.005983591,0.042851925,0.005983591,0.1765275,,0.004987717,,,
auslan2,multirocket,1,1000,,,0.07582283,0.009947538,0.07582283,0.009947538,0.030918598,,0.000996113,,,
auslan2,multirocket,1,2500,,,0.078794479,0.009968758,0.078794479,0.009968758,0.068789244,,0.00199461,,,
auslan2,multirocket,1,10000,,,0.081754684,0.009946823,0.081754684,0.009946823,0.26628828,,0.008948088,,,
auslan2,storm minirocket,0,1000,100.0,"64,0.4,32,True",0.037871838,0.00401473,0.037871838,0.00401473,2.011008263,0.019897252,0.4208498,2.180869341,0.042698979,0.398931742
auslan2,storm minirocket,0,1000,1000.0,"64,0.4,32,True",0.038894653,0.004986525,0.038894653,0.004986525,2.020065784,0.014963299,0.432116032,2.105779171,0.0414038,0.395087719
auslan2,storm minirocket,0,2500,100.0,"64,0.4,32,True",0.038894653,0.004987001,0.038894653,0.004987001,1.851826191,0.019077986,0.382657051,2.140423059,0.048619866,0.388532162
auslan2,storm minirocket,0,2500,1000.0,"64,0.4,32,True",0.038895607,0.004986048,0.038895607,0.004986048,1.910562277,0.018328428,0.385743141,2.10401082,0.041258484,0.412778139
auslan2,storm minirocket,0,10000,100.0,"64,0.4,32,True",0.040859222,0.004985571,0.040859222,0.004985571,2.261279106,0.052235454,0.385967731,2.099063635,0.033160627,0.384474516
auslan2,storm minirocket,0,10000,1000.0,"64,0.4,32,True",0.043881655,0.005984306,0.043881655,0.005984306,2.179354668,0.050988525,0.384010792,2.136245966,0.035280496,0.386771441
auslan2,storm multirocket,0,1000,100.0,"64,0.4,32,True",0.037925243,0.004987955,0.037925243,0.004987955,1.912680626,0.024764985,0.3869946,2.286515951,0.055555016,0.390877962
auslan2,storm multirocket,0,1000,1000.0,"64,0.4,32,True",0.04088974,0.003988743,0.04088974,0.003988743,1.896064758,0.023736477,0.384718418,2.157668829,0.051237762,0.39849472
auslan2,storm multirocket,0,2500,100.0,"64,0.4,32,True",0.039892673,0.004956961,0.039892673,0.004956961,2.349558592,0.053574622,0.42100215,2.1286304,0.034657449,0.385540247
auslan2,storm multirocket,0,2500,1000.0,"64,0.4,32,True",0.04338336,0.004959106,0.04338336,0.004959106,2.215971231,0.051111698,0.382822275,2.152710915,0.036152869,0.386818171
auslan2,storm multirocket,0,10000,100.0,"64,0.4,32,True",0.043851376,0.004984617,0.043851376,0.004984617,3.762431383,0.186069787,0.433012486,2.450273752,0.044256985,0.388547421
auslan2,storm multirocket,0,10000,1000.0,"64,0.4,32,True",0.049839497,0.005984545,0.049839497,0.005984545,3.892370462,0.188245595,0.43454361,2.399803877,0.045253694,0.390704155
auslan2,storm multirocket,1,1000,100.0,"64,0.4,32,True",0.075767756,0.008976221,0.075767756,0.008976221,2.152275324,0.042386532,0.395982504,2.18393445,0.046251118,0.386304617
auslan2,storm multirocket,1,1000,1000.0,"64,0.4,32,True",0.073801756,0.008975744,0.073801756,0.008975744,2.104067802,0.041264713,0.419126749,2.158687353,0.044381201,0.387482166
auslan2,storm multirocket,1,2500,100.0,"64,0.4,32,True",0.07776618,0.010970592,0.07776618,0.010970592,2.690524101,0.095559657,0.410599232,2.192589045,0.0371705,0.385612011
auslan2,storm multirocket,1,2500,1000.0,"64,0.4,32,True",0.078820229,0.009968758,0.078820229,0.009968758,2.86488986,0.093627095,0.424349546,2.284749746,0.039892942,0.392304182
auslan2,storm multirocket,1,10000,100.0,"64,0.4,32,True",0.085738659,0.011993885,0.085738659,0.011993885,5.785594702,0.388478249,0.42590785,2.773691177,0.058219135,0.393332005
auslan2,storm multirocket,1,10000,1000.0,"64,0.4,32,True",0.082779169,0.010971069,0.082779169,0.010971069,6.136637926,0.393454909,0.427115202,2.700102568,0.056971967,0.392948389
blocks,minirocket,0,1000,,,0.104715824,0.011963129,0.104715824,0.011963129,0.02132678,,0.0,,,
blocks,minirocket,0,2500,,,0.18152976,0.020938635,0.18152976,0.020938635,0.018924713,,0.0,,,
blocks,minirocket,0,10000,,,0.183055401,0.020951271,0.183055401,0.020951271,0.040884495,,0.000996351,,,
blocks,multirocket,0,1000,,,0.104715824,0.012965202,0.104715824,0.012965202,0.019919634,,0.001025438,,,
blocks,multirocket,0,2500,,,0.182511568,0.021941662,0.182511568,0.021941662,0.037872553,,0.000996828,,,
blocks,multirocket,0,10000,,,0.189037085,0.021914482,0.189037085,0.021914482,0.136634111,,0.003989458,,,
blocks,multirocket,1,1000,,,0.210456133,0.023936033,0.210456133,0.023936033,0.032886267,,0.000996113,,,
blocks,multirocket,1,2500,,,0.374971151,0.042885065,0.374971151,0.042885065,0.06932497,,0.001991272,,,
blocks,multirocket,1,10000,,,0.372972965,0.042914152,0.372972965,0.042914152,0.274235725,,0.007978678,,,
blocks,storm minirocket,0,1000,100.0,"64,0.4,32,True",0.131644011,0.014931917,0.065822005,0.007465959,1.971402407,0.020006478,0.406453609,2.080215693,0.04138881,0.391527176
blocks,storm minirocket,0,1000,1000.0,"64,0.4,32,True",0.11269784,0.011968136,0.11269784,0.011968136,2.069885492,0.017450184,0.384973049,1.974034309,0.034532607,0.387906313
blocks,storm minirocket,0,2500,100.0,"64,0.4,32,True",0.182453871,0.020942688,0.091226935,0.010471344,1.917517424,0.021068811,0.38467741,2.100855112,0.041638702,0.389956713
blocks,storm minirocket,0,2500,1000.0,"64,0.4,32,True",0.188481569,0.02094388,0.188481569,0.02094388,1.944076777,0.018435776,0.379522324,2.141838789,0.049492061,0.38908124
blocks,storm minirocket,0,10000,100.0,"64,0.4,32,True",0.185477495,0.020944834,0.092738748,0.010472417,2.219895363,0.05161196,0.381280184,2.156536818,0.037150234,0.385946512
blocks,storm minirocket,0,10000,1000.0,"64,0.4,32,True",0.187498808,0.020943642,0.187498808,0.020943642,2.299509525,0.045125484,0.381371737,2.138136148,0.035654455,0.385176182
blocks,storm multirocket,0,1000,100.0,"64,0.4,32,True",0.131623507,0.015955687,0.065811753,0.007977843,1.941612005,0.023902208,0.378036022,2.12272954,0.041442484,0.38779974
blocks,storm multirocket,0,1000,1000.0,"64,0.4,32,True",0.112698793,0.011967897,0.112698793,0.011967897,1.904119253,0.021155208,0.417881966,2.175536394,0.053356946,0.389434099
blocks,storm multirocket,0,2500,100.0,"64,0.4,32,True",0.185976744,0.020902157,0.092988372,0.010451078,2.165912151,0.050700277,0.382403851,2.184934616,0.037150711,0.391617537
blocks,storm multirocket,0,2500,1000.0,"64,0.4,32,True",0.181513786,0.020944118,0.181513786,0.020944118,2.135915279,0.046472222,0.376596689,2.14517355,0.03679353,0.386387348
blocks,storm multirocket,0,10000,100.0,"64,0.4,32,True",0.199957132,0.022938728,0.099978566,0.011469364,3.599557877,0.184448898,0.400247812,2.498488903,0.053817064,0.392325163
blocks,storm multirocket,0,10000,1000.0,"64,0.4,32,True",0.189491749,0.021942377,0.189491749,0.021942377,3.467076302,0.170294434,0.380496025,2.452444792,0.045877397,0.391461849
blocks,storm multirocket,1,1000,100.0,"64,0.4,32,True",0.262240171,0.030943394,0.131120086,0.015471697,2.058847904,0.039351881,0.370630264,2.217933655,0.048744828,0.389834166
blocks,storm multirocket,1,1000,1000.0,"64,0.4,32,True",0.212432623,0.023934841,0.212432623,0.023934841,2.023192883,0.035340697,0.372705936,2.126176834,0.041638821,0.388706684
blocks,storm multirocket,1,2500,100.0,"64,0.4,32,True",0.3659935,0.042889833,0.18299675,0.021444917,2.610287189,0.091380715,0.384095669,2.306900263,0.04300949,0.390235186
blocks,storm multirocket,1,2500,1000.0,"64,0.4,32,True",0.361034393,0.042885542,0.361034393,0.042885542,2.524107456,0.084900498,0.379790783,2.300401688,0.041139603,0.388520002
blocks,storm multirocket,1,10000,100.0,"64,0.4,32,True",0.377997875,0.043884039,0.188998938,0.021942019,5.788424969,0.388343185,0.391159534,3.027705193,0.075296879,0.408769608
blocks,storm multirocket,1,10000,1000.0,"64,0.4,32,True",0.383955956,0.044879913,0.383955956,0.044879913,5.532790422,0.367914051,0.388356924,2.754255295,0.058713049,0.392196894
context,minirocket,0,1000,,,0.173535585,0.018949509,0.173535585,0.018949509,0.022930384,,0.000997543,,,
context,minirocket,0,2500,,,0.364992142,0.039893866,0.364992142,0.039893866,0.01695323,,0.000997782,,,
context,minirocket,0,10000,,,0.381971359,0.039868832,0.381971359,0.039868832,0.043880701,,0.000997305,,,
context,multirocket,0,1000,,,0.216418743,0.023935556,0.216418743,0.023935556,0.021942139,,0.000997782,,,
context,multirocket,0,2500,,,0.481709242,0.044851303,0.481709242,0.044851303,0.043882847,,0.00099659,,,
context,multirocket,0,10000,,,0.520605803,0.051829338,0.520605803,0.051829338,0.153588057,,0.002992153,,,
context,multirocket,1,1000,,,0.358010769,0.039325953,0.358010769,0.039325953,0.035903454,,0.0,,,
context,multirocket,1,2500,,,0.777469397,0.089760303,0.777469397,0.089760303,0.078817129,,0.00196743,,,
context,multirocket,1,10000,,,0.835763931,0.090725183,0.835763931,0.090725183,0.293215275,,0.006011724,,,
context,storm minirocket,0,1000,100.0,"64,0.4,32,True",0.37298131,0.039888144,0.124327103,0.013296048,1.804958105,0.018450737,0.370699406,2.21238637,0.054603547,0.386018515
context,storm minirocket,0,1000,1000.0,"64,0.4,32,True",0.170544386,0.017953634,0.170544386,0.017953634,1.828483582,0.013089508,0.37516737,2.085971594,0.045253724,0.390954494
context,storm minirocket,0,2500,100.0,"64,0.4,32,True",0.521601915,0.056817293,0.173867305,0.018939098,1.870270729,0.022190809,0.371351242,2.265631676,0.058467954,0.391196728
context,storm minirocket,0,2500,1000.0,"64,0.4,32,True",0.380069971,0.036900997,0.380069971,0.036900997,1.812694788,0.015458882,0.372297049,2.100540161,0.040890574,0.382523775
context,storm minirocket,0,10000,100.0,"64,0.4,32,True",0.526582479,0.056833267,0.175527493,0.018944422,2.317546606,0.065324843,0.376298428,2.33620286,0.049741864,0.397224665
context,storm minirocket,0,10000,1000.0,"64,0.4,32,True",0.386726141,0.039893627,0.386726141,0.039893627,2.188382387,0.052487522,0.375273705,2.206125498,0.039831877,0.384956837
context,storm multirocket,0,1000,100.0,"64,0.4,32,True",0.375032902,0.04285264,0.125010967,0.014284213,2.007280827,0.034998775,0.377394438,2.27874589,0.047996759,0.427012444
context,storm multirocket,0,1000,1000.0,"64,0.4,32,True",0.213428974,0.022938251,0.213428974,0.022938251,1.898113728,0.028309852,0.379021406,2.225670338,0.056847811,0.393624544
context,storm multirocket,0,2500,100.0,"64,0.4,32,True",0.528579712,0.05681181,0.176193237,0.01893727,2.306064129,0.063579947,0.377737999,2.332509279,0.045751631,0.393944979
context,storm multirocket,0,2500,1000.0,"64,0.4,32,True",0.474729061,0.045877218,0.474729061,0.045877218,2.170653582,0.051237941,0.376991749,2.152283669,0.037524432,0.389243364
context,storm multirocket,0,10000,100.0,"64,0.4,32,True",0.555028439,0.0607512,0.18500948,0.0202504,4.11353159,0.234372765,0.389279127,2.82746768,0.074130505,0.40286088
context,storm multirocket,0,10000,1000.0,"64,0.4,32,True",0.506638527,0.052831173,0.506638527,0.052831173,3.709357023,0.198593944,0.380493641,2.541506529,0.05161193,0.389688253
context,storm multirocket,1,1000,100.0,"64,0.4,32,True",0.750472069,0.080779314,0.250157356,0.026926438,2.180281162,0.05036518,0.376354694,2.340971708,0.043757528,0.388776779
context,storm multirocket,1,1000,1000.0,"64,0.4,32,True",0.355049133,0.039893627,0.355049133,0.039893627,2.057022572,0.038896114,0.375920773,2.165708542,0.041264564,0.384700537
context,storm multirocket,1,2500,100.0,"64,0.4,32,True",1.064153671,0.116112471,0.35471789,0.038704157,2.919577122,0.119557709,0.380017996,2.439886332,0.053606212,0.393318892
context,storm multirocket,1,2500,1000.0,"64,0.4,32,True",0.736003399,0.077791452,0.736003399,0.077791452,2.639675856,0.097489715,0.380110264,2.273519039,0.042884529,0.387967587
context,storm multirocket,1,10000,100.0,"64,0.4,32,True",1.089005947,0.11768651,0.363001982,0.039228837,6.787921667,0.483667493,0.396938562,3.376549721,0.112845063,0.412143707
context,storm multirocket,1,10000,1000.0,"64,0.4,32,True",0.845732212,0.092725754,0.845732212,0.092725754,6.145368338,0.427676111,0.384453058,2.920495987,0.068630666,0.397499084
hepatitis,minirocket,0,1000,,,48.33513045,5.267923355,48.33513045,5.267923355,0.073113918,,0.00099659,,,
hepatitis,minirocket,0,2500,,,122.442332,13.55052137,122.442332,13.55052137,0.043852568,,0.000995874,,,
hepatitis,minirocket,0,10000,,,126.0101645,13.76218128,126.0101645,13.76218128,0.101492167,,0.001993179,,,
hepatitis,multirocket,0,1000,,,53.95663047,6.073321581,53.95663047,6.073321581,0.053962708,,0.0,,,
hepatitis,multirocket,0,2500,,,140.0172236,15.49336696,140.0172236,15.49336696,0.132642746,,0.001996756,,,
hepatitis,multirocket,0,10000,,,150.298085,16.19006348,150.298085,16.19006348,0.332083941,,0.006987572,,,
hepatitis,multirocket,1,1000,,,106.9124653,11.84748769,106.9124653,11.84748769,0.117052078,,0.000997066,,,
hepatitis,multirocket,1,2500,,,288.279043,30.92457008,288.279043,30.92457008,0.17602849,,0.002991438,,,
hepatitis,multirocket,1,10000,,,250.0922165,27.33133173,250.0922165,27.33133173,0.69522357,,0.01296401,,,
hepatitis,storm minirocket,0,1000,100.0,"64,0.4,32,True",20.35786867,2.258485794,0.267866693,0.029716918,5.055211067,0.33482787,0.430890083,3.548629999,0.159525663,0.409714222
hepatitis,storm minirocket,0,1000,1000.0,"64,0.4,32,True",29.67597938,3.332118273,3.709497422,0.416514784,2.341819286,0.064075053,0.558240414,2.750340939,0.089510411,0.561754942
hepatitis,storm minirocket,0,2500,100.0,"64,0.4,32,True",30.75721788,3.365527153,0.404700235,0.044283252,5.609501362,0.378249288,0.403437853,4.515408516,0.237560779,0.441128731
hepatitis,storm minirocket,0,2500,1000.0,"64,0.4,32,True",68.9440589,7.769808292,8.618007362,0.971226037,2.440071106,0.076878846,0.384720325,2.801366568,0.097281396,0.404417276
hepatitis,storm minirocket,0,10000,100.0,"64,0.4,32,True",30.95034838,3.459404469,0.407241426,0.04551848,10.2166934,0.779169351,0.494987488,10.18801808,0.619211257,0.557881355
hepatitis,storm minirocket,0,10000,1000.0,"64,0.4,32,True",76.37904787,8.393000603,9.547380984,1.049125075,3.663212776,0.191834182,0.391956329,3.437469244,0.131647646,0.418134451
hepatitis,storm multirocket,0,1000,100.0,"64,0.4,32,True",20.57786012,2.358205557,0.270761317,0.03102902,6.217489719,0.431764126,0.426919699,5.506155014,0.312287748,0.452761173
hepatitis,storm multirocket,0,1000,1000.0,"64,0.4,32,True",38.48241544,4.171116114,4.81030193,0.521389514,2.599424124,0.091755003,0.380426645,2.898646116,0.100960881,0.40084362
hepatitis,storm multirocket,0,2500,100.0,"64,0.4,32,True",31.13525152,3.525713682,0.409674362,0.04639097,10.15539408,0.782530844,0.501533508,9.164941311,0.596764028,0.58135128
hepatitis,storm multirocket,0,2500,1000.0,"64,0.4,32,True",87.01186371,9.555642605,10.87648296,1.194455326,3.722782373,0.195043504,0.395515919,3.359678268,0.132485539,0.416864395
hepatitis,storm multirocket,0,10000,100.0,"64,0.4,32,True",32.35904717,3.662717342,0.425776937,0.048193649,64.77753186,2.931367725,2.173919678,,,
hepatitis,storm multirocket,0,10000,1000.0,"64,0.4,32,True",92.87627578,10.13936496,11.60953447,1.26742062,9.577068329,0.736605525,0.44944787,5.357249498,0.294145077,0.461378574
hepatitis,storm multirocket,1,1000,100.0,"64,0.4,32,True",39.26143122,4.348427296,0.516597779,0.057216149,9.027774096,0.668544441,0.486745358,8.732617378,0.486242712,0.556085587
hepatitis,storm multirocket,1,1000,1000.0,"64,0.4,32,True",84.97212696,9.52511096,10.62151587,1.19063887,3.340754747,0.151719123,0.39833951,6.507502317,0.121927112,0.488771677
hepatitis,storm multirocket,1,2500,100.0,"64,0.4,32,True",59.42111754,6.549591064,0.78185681,0.08617883,17.97449994,1.37972182,0.68975091,18.78066826,1.078317761,1.16885376
